Date,Ordo Name,Season,Week,Rank,Normalized
2025-06-15,THE MOST HOLY TRINITY,,,Solemnity,THE MOST HOLY TRINITY
2025-12-17,17 December,,,Feria,17 DECEMBER
2025-12-18,18 December,,,Feria,18 DECEMBER
2025-12-19,19 December,,,Feria,19 DECEMBER
2025-12-20,20 December,,,Feria,20 DECEMBER
2025-12-22,22 December,,,Feria,22 DECEMBER
2025-12-24,24 December,,,Feria,24 DECEMBER
2026-06-07,THE MOST HOLY BODY AND BLOOD OF CHRIST,,,Solemnity,THE MOST HOLY BODY AND BLOOD OF CHRIST
2026-12-17,17 December,,,Feria,17 DECEMBER
2026-12-18,18 December,,,Feria,18 DECEMBER
2026-12-19,19 December,,,Feria,19 DECEMBER
2026-12-22,22 December,,,Feria,22 DECEMBER
2026-12-24,24 December,,,Feria,24 DECEMBER
